Dataset,Platform,Year,Month,Product name,ZIP filename,Acquisition start,Acquisition end,Selection rule,Notes
Sentinel-1,S1A,2024,2024-12,S1A_IW_GRDH_1SDV_20241217T061505_20241217T061530_057028_07020F_665D_COG.SAFE,S1A_IW_GRDH_1SDV_20241217T061505_20241217T061530_057028_07020F_665D_COG.zip,2024-12-17T06:15:05,2024-12-17T06:15:30,Closest to mid-month (15th),
Sentinel-1,S1A,2025,2025-01,S1A_IW_GRDH_1SDV_20250115T062322_20250115T062347_057451_0712C4_164F_COG.SAFE,S1A_IW_GRDH_1SDV_20250115T062322_20250115T062347_057451_0712C4_164F_COG.zip,2025-01-15T06:23:22,2025-01-15T06:23:47,Closest to mid-month (15th),
Sentinel-1,S1A,2025,2025-02,S1A_IW_GRDH_1SDV_20250215T061501_20250215T061526_057903_0724CB_DCE6.SAFE,S1A_IW_GRDH_1SDV_20250215T061501_20250215T061526_057903_0724CB_DCE6.zip,2025-02-15T06:15:01,2025-02-15T06:15:26,Closest to mid-month (15th),
Sentinel-1,S1A,2025,2025-03,S1A_IW_GRDH_1SDV_20250316T062256_20250316T062321_058326_0735E5_97B6.SAFE,S1A_IW_GRDH_1SDV_20250316T062256_20250316T062321_058326_0735E5_97B6.zip,2025-03-16T06:22:56,2025-03-16T06:23:21,Closest to mid-month (15th),
Sentinel-1,S1C,2025,2025-04,S1C_IW_GRDH_1SDV_20250415T062150_20250415T062216_001900_003AB8_458D_COG.SAFE,S1C_IW_GRDH_1SDV_20250415T062150_20250415T062216_001900_003AB8_458D_COG.zip,2025-04-15T06:21:50,2025-04-15T06:22:16,Closest to mid-month (15th),
Sentinel-1,S1C,2025,2025-05,S1C_IW_GRDH_1SDV_20250516T061343_20250516T061408_002352_004F5A_2710.SAFE,S1C_IW_GRDH_1SDV_20250516T061343_20250516T061408_002352_004F5A_2710.zip,2025-05-16T06:13:43,2025-05-16T06:14:08,Closest to mid-month (15th),
Sentinel-1,S1A,2025,2025-06,S1A_IW_GRDH_1SDV_20250615T061500_20250615T061525_059653_076829_B684.SAFE,S1A_IW_GRDH_1SDV_20250615T061500_20250615T061525_059653_076829_B684.zip,2025-06-15T06:15:00,2025-06-15T06:15:25,Closest to mid-month (15th),
Sentinel-1,S1C,2025,2025-07,S1C_IW_GRDH_1SDV_20250715T061347_20250715T061412_003227_006860_3864_COG.SAFE,S1C_IW_GRDH_1SDV_20250715T061347_20250715T061412_003227_006860_3864_COG.zip,2025-07-15T06:13:47,2025-07-15T06:14:12,Closest to mid-month (15th),
Sentinel-1,S1C,2025,2025-08,S1C_IW_GRDH_1SDV_20250816T175712_20250816T175737_003701_007654_1B23_COG.SAFE,S1C_IW_GRDH_1SDV_20250816T175712_20250816T175737_003701_007654_1B23_COG.zip,2025-08-16T17:57:12,2025-08-16T17:57:37,Closest to mid-month (15th),
Sentinel-1,S1A,2025,2025-09,S1A_IW_GRDH_1SDV_20250915T175811_20250915T175836_061002_0799BD_A593.SAFE,S1A_IW_GRDH_1SDV_20250915T175811_20250915T175836_061002_0799BD_A593.zip,2025-09-15T17:58:11,2025-09-15T17:58:36,Closest to mid-month (15th),
Sentinel-1,S1C,2025,2025-10,S1C_IW_GRDH_1SDV_20251015T175714_20251015T175739_004576_0090CF_7AF4_COG.SAFE,S1C_IW_GRDH_1SDV_20251015T175714_20251015T175739_004576_0090CF_7AF4_COG.zip,2025-10-15T17:57:14,2025-10-15T17:57:39,Closest to mid-month (15th),
Sentinel-1,S1C,2025,2025-11,S1C_IW_GRDH_1SDV_20251115T174906_20251115T174931_005028_009F41_E076.SAFE,S1C_IW_GRDH_1SDV_20251115T174906_20251115T174931_005028_009F41_E076.zip,2025-11-15T17:49:06,2025-11-15T17:49:31,Closest to mid-month (15th),
Sentinel-1,S1A,2025,2025-12,S1A_IW_GRDH_1SDV_20251215T174957_20251215T175022_062329_07CE44_AD35.SAFE,S1A_IW_GRDH_1SDV_20251215T174957_20251215T175022_062329_07CE44_AD35.zip,2025-12-15T17:49:57,2025-12-15T17:50:22,Closest to mid-month (15th),
